id,fold
TRAIN_00379,4
TRAIN_00380,3
TRAIN_00381,4
TRAIN_00382,2
TRAIN_00383,4
TRAIN_00384,1
TRAIN_00385,1
TRAIN_00386,0
TRAIN_00387,4
TRAIN_00388,1
TRAIN_00389,3
TRAIN_00390,3
TRAIN_00391,3
TRAIN_00392,4
TRAIN_00393,1
TRAIN_00394,2
TRAIN_00395,1
TRAIN_00396,3
TRAIN_00397,2
TRAIN_00398,3
TRAIN_00399,2
TRAIN_00400,4
TRAIN_00401,0
TRAIN_00402,4
TRAIN_00403,2
TRAIN_00404,4
TRAIN_00405,2
TRAIN_00406,3
TRAIN_00407,0
TRAIN_00408,0
TRAIN_00409,2
TRAIN_00410,2
TRAIN_00411,4
TRAIN_00412,0
TRAIN_00413,3
TRAIN_00414,3
TRAIN_00415,2
TRAIN_00416,3
TRAIN_00417,1
TRAIN_00418,4
TRAIN_00419,2
TRAIN_00420,1
TRAIN_00421,1
TRAIN_00422,3
TRAIN_00423,0
TRAIN_00424,0
TRAIN_00425,0
TRAIN_00426,0
TRAIN_00427,2
TRAIN_00428,0
TRAIN_00429,0
TRAIN_00430,1
TRAIN_00431,2
TRAIN_00432,3
TRAIN_00433,4
TRAIN_00434,0
TRAIN_00435,0
TRAIN_00436,1
TRAIN_00437,1
TRAIN_00438,4
TRAIN_00439,1
TRAIN_00440,3
TRAIN_00441,4
TRAIN_00442,0
TRAIN_00443,4
TRAIN_00444,3
TRAIN_00445,3
TRAIN_00446,4
TRAIN_00447,4
TRAIN_00448,4
TRAIN_00449,0
TRAIN_00450,0
TRAIN_00451,4
TRAIN_00452,1
TRAIN_00453,2
TRAIN_00454,0
TRAIN_00455,1
TRAIN_00456,0
TRAIN_00457,1
TRAIN_00458,2
TRAIN_00459,2
TRAIN_00460,3
TRAIN_00461,4
TRAIN_00462,2
TRAIN_00463,0
TRAIN_00464,3
TRAIN_00465,1
TRAIN_00466,3
TRAIN_00467,2
TRAIN_00468,4
TRAIN_00469,2
TRAIN_00470,3
TRAIN_00471,1
TRAIN_00472,3
TRAIN_00473,2
TRAIN_00474,3
TRAIN_00475,4
TRAIN_00476,2
TRAIN_00477,0
TRAIN_00478,1
TRAIN_00479,4
TRAIN_00480,3
TRAIN_00481,3
TRAIN_00482,3
TRAIN_00483,0
TRAIN_00484,1
TRAIN_00485,4
TRAIN_00486,4
TRAIN_00487,0
TRAIN_00488,1
TRAIN_00489,2
TRAIN_00490,4
TRAIN_00491,1
TRAIN_00492,4
TRAIN_00493,1
TRAIN_00494,2
TRAIN_00495,1
TRAIN_00496,1
TRAIN_00497,3
TRAIN_00498,0
TRAIN_00499,2
TRAIN_00500,2
TRAIN_00501,1
TRAIN_00502,1
TRAIN_00503,1
TRAIN_00504,4
TRAIN_00505,0
TRAIN_00506,1
TRAIN_00507,2
TRAIN_00508,0
TRAIN_00509,0
TRAIN_00510,3
TRAIN_00511,3
TRAIN_00512,3
TRAIN_00513,2
TRAIN_00514,1
TRAIN_00515,0
TRAIN_00516,4
TRAIN_00517,3
TRAIN_00518,1
TRAIN_00519,0
TRAIN_00520,1
TRAIN_00521,2
TRAIN_00522,2
TRAIN_00523,2
TRAIN_00524,2
TRAIN_00525,4
TRAIN_00526,3
TRAIN_00527,1
TRAIN_00528,3
TRAIN_00529,4
TRAIN_00530,0
TRAIN_00531,2
TRAIN_00532,2
TRAIN_00533,3
TRAIN_00534,3
TRAIN_00535,2
TRAIN_00536,0
TRAIN_00537,3
TRAIN_00538,2
TRAIN_00539,2
TRAIN_00540,3
TRAIN_00541,2
TRAIN_00542,0
TRAIN_00543,0
TRAIN_00544,1
TRAIN_00545,3
TRAIN_00546,1
TRAIN_00547,4
TRAIN_00548,3
TRAIN_00549,3
TRAIN_00550,3
TRAIN_00551,1
TRAIN_00552,1
TRAIN_00553,3
TRAIN_00554,4
TRAIN_00555,2
TRAIN_00556,0
TRAIN_00557,3
TRAIN_00558,1
TRAIN_00559,4
TRAIN_00560,0
TRAIN_00561,2
TRAIN_00562,4
TRAIN_00563,4
TRAIN_00564,3
TRAIN_00565,3
TRAIN_00566,1
TRAIN_00567,4
TRAIN_00568,2
TRAIN_00569,3
TRAIN_00570,2
TRAIN_00571,1
TRAIN_00572,0
TRAIN_00573,3
TRAIN_00574,0
TRAIN_00575,2
TRAIN_00576,3
TRAIN_00577,4
TRAIN_00578,3
TRAIN_00579,0
TRAIN_00580,4
TRAIN_00581,2
TRAIN_00582,2
TRAIN_00583,0
TRAIN_00584,0
TRAIN_00585,4
TRAIN_00586,0
TRAIN_00587,2
TRAIN_00588,4
TRAIN_00589,4
TRAIN_00590,4
TRAIN_00591,4
TRAIN_00592,0
TRAIN_00593,1
TRAIN_00594,2
TRAIN_00595,2
TRAIN_00596,1
TRAIN_00597,0
TRAIN_00598,4
TRAIN_00599,4
TRAIN_00600,4
TRAIN_00601,4
TRAIN_00602,3
TRAIN_00603,4
TRAIN_00604,2
TRAIN_00605,0
TRAIN_00606,4
TRAIN_00607,4
TRAIN_00608,3
TRAIN_00609,2
TRAIN_00610,0
TRAIN_00611,1
TRAIN_00612,1
TRAIN_00613,2
TRAIN_00614,4
TRAIN_00615,2
TRAIN_00616,3
TRAIN_00617,1
TRAIN_00618,2
TRAIN_00619,0
TRAIN_00620,0
TRAIN_00621,4
TRAIN_00622,1
TRAIN_00623,1
TRAIN_00624,0
TRAIN_00625,1
TRAIN_00626,2
TRAIN_00627,2
TRAIN_00628,4
TRAIN_00629,1
TRAIN_00630,2
TRAIN_00631,2
TRAIN_00632,0
TRAIN_00633,3
TRAIN_00634,1
TRAIN_00635,4
TRAIN_00636,1
TRAIN_00637,0
TRAIN_00638,3
TRAIN_00639,0
TRAIN_00640,2
TRAIN_00641,2
TRAIN_00642,1
TRAIN_00643,0
TRAIN_00644,0
TRAIN_00645,0
TRAIN_00646,2
TRAIN_00647,4
TRAIN_00648,0
TRAIN_00649,0
TRAIN_00650,0
TRAIN_00651,0
TRAIN_00652,0
TRAIN_00653,0
TRAIN_00654,2
TRAIN_00655,2
TRAIN_00656,2
TRAIN_00657,2
TRAIN_00658,4
TRAIN_00659,3
TRAIN_00660,0
TRAIN_00661,0
TRAIN_00662,1
TRAIN_00663,2
TRAIN_00664,1
TRAIN_00665,4
TRAIN_00666,0
TRAIN_00667,3
TRAIN_00668,4
TRAIN_00669,2
TRAIN_00670,4
TRAIN_00671,2
TRAIN_00672,4
TRAIN_00673,2
TRAIN_00674,1
TRAIN_00675,4
TRAIN_00676,4
TRAIN_00677,1
TRAIN_00678,1
TRAIN_00679,1
TRAIN_00680,0
TRAIN_00681,2
TRAIN_00682,2
TRAIN_00683,2
TRAIN_00684,2
TRAIN_00685,1
TRAIN_00686,1
TRAIN_00687,2
TRAIN_00688,1
TRAIN_00689,4
TRAIN_00690,2
TRAIN_00691,3
TRAIN_00692,3
TRAIN_00693,2
TRAIN_00694,3
TRAIN_00695,4
TRAIN_00696,2
TRAIN_00697,1
TRAIN_00698,0
TRAIN_00699,4
TRAIN_00700,1
TRAIN_00701,3
TRAIN_00702,3
TRAIN_00703,3
TRAIN_00704,1
TRAIN_00705,4
TRAIN_00706,0
TRAIN_00707,3
TRAIN_00708,4
TRAIN_00709,1
TRAIN_00710,1
TRAIN_00711,1
TRAIN_00712,2
TRAIN_00713,1
TRAIN_00714,3
TRAIN_00715,0
TRAIN_00716,0
TRAIN_00717,2
TRAIN_00718,4
TRAIN_00719,4
TRAIN_00720,0
TRAIN_00721,1
TRAIN_00722,0
TRAIN_00723,0
TRAIN_00724,3
TRAIN_00725,0
TRAIN_00726,2
TRAIN_00727,4
TRAIN_00728,4
TRAIN_00729,1
TRAIN_00730,2
TRAIN_00731,2
TRAIN_00732,2
TRAIN_00733,3
TRAIN_00734,0
TRAIN_00735,0
TRAIN_00736,2
TRAIN_00737,4
TRAIN_00738,3
TRAIN_00739,2
TRAIN_00740,1
TRAIN_00741,0
TRAIN_00742,1
TRAIN_00743,0
TRAIN_00744,1
TRAIN_00745,4
TRAIN_00746,0
TRAIN_00747,4
TRAIN_00748,3
TRAIN_00749,1
TRAIN_00750,4
TRAIN_00751,4
TRAIN_00752,2
TRAIN_00753,1
TRAIN_00754,4
TRAIN_00755,2
TRAIN_00756,2
TRAIN_00757,1
TRAIN_00758,0
TRAIN_00759,4
TRAIN_00760,3
TRAIN_00761,2
TRAIN_00762,2
TRAIN_00763,1
TRAIN_00764,2
TRAIN_00765,4
TRAIN_00766,0
TRAIN_00767,3
TRAIN_00768,1
TRAIN_00769,2
TRAIN_00770,1
TRAIN_00771,1
TRAIN_00772,1
TRAIN_00773,3
TRAIN_00774,0
TRAIN_00775,0
TRAIN_00776,2
TRAIN_00777,3
TRAIN_00778,2
TRAIN_00779,2
TRAIN_00780,1
TRAIN_00781,3
TRAIN_00782,4
TRAIN_00783,0
TRAIN_00784,0
TRAIN_00785,3
TRAIN_00786,1
TRAIN_00787,3
TRAIN_00788,3
TRAIN_00789,3
TRAIN_00790,3
TRAIN_00791,4
TRAIN_00792,1
TRAIN_00793,1
TRAIN_00794,0
TRAIN_00795,0
TRAIN_00796,0
TRAIN_00797,3
TRAIN_00798,1
TRAIN_00799,2
TRAIN_00800,3
TRAIN_00801,2
TRAIN_00802,4
TRAIN_00803,0
TRAIN_00804,3
TRAIN_00805,3
TRAIN_00806,4
TRAIN_00807,1
TRAIN_00808,0
TRAIN_00809,4
TRAIN_00810,4
TRAIN_00811,0
TRAIN_00812,1
TRAIN_00813,1
TRAIN_00814,0
TRAIN_00815,4
TRAIN_00816,0
TRAIN_00817,2
TRAIN_00818,4
TRAIN_00819,3
TRAIN_00820,0
TRAIN_00821,2
TRAIN_00822,3
TRAIN_00823,3
TRAIN_00824,3
TRAIN_00825,4
TRAIN_00826,2
TRAIN_00827,3
TRAIN_00828,4
TRAIN_00829,0
TRAIN_00830,2
TRAIN_00831,4
TRAIN_00832,4
TRAIN_00833,0
TRAIN_00834,2
TRAIN_00835,2
TRAIN_00836,1
TRAIN_00837,4
TRAIN_00838,3
TRAIN_00839,4
TRAIN_00840,3
TRAIN_00841,4
TRAIN_00842,3
TRAIN_00843,4
TRAIN_00844,3
TRAIN_00845,0
TRAIN_00846,1
TRAIN_00847,2
TRAIN_00848,1
TRAIN_00849,3
TRAIN_00850,1
TRAIN_00851,1
TRAIN_00852,4
TRAIN_00853,2
TRAIN_00854,2
TRAIN_00855,2
TRAIN_00856,1
TRAIN_00857,4
TRAIN_00858,1
TRAIN_00859,4
TRAIN_00860,3
TRAIN_00861,1
TRAIN_00862,4
TRAIN_00863,0
TRAIN_00864,0
TRAIN_00865,1
TRAIN_00866,2
TRAIN_00867,1
TRAIN_00868,4
TRAIN_00869,3
TRAIN_00870,0
TRAIN_00871,1
TRAIN_00872,2
TRAIN_00873,3
TRAIN_00874,3
TRAIN_00875,2
TRAIN_00876,4
TRAIN_00877,1
TRAIN_00878,1
TRAIN_00879,4
TRAIN_00880,0
TRAIN_00881,1
TRAIN_00882,2
TRAIN_00883,2
TRAIN_00884,1
TRAIN_00885,1
TRAIN_00886,1
TRAIN_00887,4
TRAIN_00888,4
TRAIN_00889,0
TRAIN_00890,1
TRAIN_00891,2
TRAIN_00892,4
TRAIN_00893,2
TRAIN_00894,3
TRAIN_00895,4
TRAIN_00896,0
TRAIN_00897,0
TRAIN_00898,3
TRAIN_00899,0
TRAIN_00900,4
TRAIN_00901,0
TRAIN_00902,4
TRAIN_00903,3
TRAIN_00904,0
TRAIN_00905,0
TRAIN_00906,4
TRAIN_00907,1
TRAIN_00908,0
TRAIN_00909,1
TRAIN_00910,4
TRAIN_00911,0
TRAIN_00912,2
TRAIN_00913,4
TRAIN_00914,2
TRAIN_00915,4
TRAIN_00916,3
TRAIN_00917,4
TRAIN_00918,1
TRAIN_00919,3
TRAIN_00920,3
TRAIN_00921,2
TRAIN_00922,0
TRAIN_00923,0
TRAIN_00924,0
TRAIN_00925,4
TRAIN_00926,2
TRAIN_00927,0
TRAIN_00928,0
TRAIN_00929,0
TRAIN_00930,1
TRAIN_00931,1
TRAIN_00932,1
TRAIN_00933,4
TRAIN_00934,1
TRAIN_00935,3
TRAIN_00936,0
TRAIN_00937,3
TRAIN_00938,3
TRAIN_00939,2
TRAIN_00940,0
TRAIN_00941,2
TRAIN_00942,2
TRAIN_00943,3
TRAIN_00944,0
TRAIN_00945,3
TRAIN_00946,1
TRAIN_00947,3
TRAIN_00948,3
TRAIN_00949,4
TRAIN_00950,3
TRAIN_00951,4
TRAIN_00952,2
TRAIN_00953,1
TRAIN_00954,4
TRAIN_00955,0
TRAIN_00956,2
TRAIN_00957,1
TRAIN_00958,1
TRAIN_00959,4
TRAIN_00960,4
TRAIN_00961,0
TRAIN_00962,3
TRAIN_00963,0
TRAIN_00964,0
TRAIN_00965,3
TRAIN_00966,1
TRAIN_00967,1
TRAIN_00968,4
TRAIN_00969,1
TRAIN_00970,0
TRAIN_00971,4
TRAIN_00972,1
TRAIN_00973,3
TRAIN_00974,4
TRAIN_00975,3
TRAIN_00976,0
TRAIN_00977,0
TRAIN_00978,3
TRAIN_00979,3
TRAIN_00980,1
TRAIN_00981,0
TRAIN_00982,4
TRAIN_00983,0
TRAIN_00984,0
TRAIN_00985,3
TRAIN_00986,3
TRAIN_00987,0
TRAIN_00988,4
TRAIN_00989,2
TRAIN_00990,4
TRAIN_00991,0
TRAIN_00992,3
TRAIN_00993,2
TRAIN_00994,3
TRAIN_00995,3
TRAIN_00996,0
TRAIN_00997,1
TRAIN_00998,3
TRAIN_00999,4
TRAIN_01000,2
TRAIN_01001,1
TRAIN_01002,2
TRAIN_01003,4
TRAIN_01004,3
TRAIN_01005,3
TRAIN_01006,1
TRAIN_01007,4
TRAIN_01008,1
TRAIN_01009,2
TRAIN_01010,2
TRAIN_01011,1
TRAIN_01012,3
TRAIN_01013,0
TRAIN_01014,2
TRAIN_01015,3
TRAIN_01016,4
TRAIN_01017,0
TRAIN_01018,0
TRAIN_01019,3
TRAIN_01020,2
TRAIN_01021,2
TRAIN_01022,2
TRAIN_01023,1
TRAIN_01024,4
TRAIN_01025,3
TRAIN_01026,1
TRAIN_01027,3
TRAIN_01028,3
TRAIN_01029,3
TRAIN_01030,4
TRAIN_01031,3
TRAIN_01032,1
TRAIN_01033,0
TRAIN_01034,1
TRAIN_01035,2
TRAIN_01036,3
TRAIN_01037,1
TRAIN_01038,4
TRAIN_01039,2
TRAIN_01040,1
TRAIN_01041,4
TRAIN_01042,4
TRAIN_01043,4
TRAIN_01044,2
TRAIN_01045,2
TRAIN_01046,3
TRAIN_01047,1
TRAIN_01048,2
TRAIN_01049,1
TRAIN_01050,4
TRAIN_01051,1
TRAIN_01052,2
TRAIN_01053,2
TRAIN_01054,2
TRAIN_01055,0
TRAIN_01056,1
TRAIN_01057,3
TRAIN_01058,3
TRAIN_01059,4
TRAIN_01060,0
TRAIN_01061,2
TRAIN_01062,4
TRAIN_01063,1
TRAIN_01064,2
TRAIN_01065,3
TRAIN_01066,3
TRAIN_01067,1
TRAIN_01068,3
TRAIN_01069,4
TRAIN_01070,0
TRAIN_01071,2
TRAIN_01072,0
TRAIN_01073,1
TRAIN_01074,3
TRAIN_01075,1
TRAIN_01076,3
TRAIN_01077,4
TRAIN_01078,1
TRAIN_01079,3
TRAIN_01080,4
TRAIN_01081,4
TRAIN_01082,4
TRAIN_01083,0
TRAIN_01084,0
TRAIN_01085,0
TRAIN_01086,1
TRAIN_01087,3
TRAIN_01088,1
TRAIN_01089,3
TRAIN_01090,0
TRAIN_01091,4
TRAIN_01092,1
TRAIN_01093,1
TRAIN_01094,0
TRAIN_01095,1
TRAIN_01096,0
TRAIN_01097,1
TRAIN_01098,0
TRAIN_01099,4
TRAIN_01100,1
TRAIN_01101,0
TRAIN_01102,3
TRAIN_01103,1
TRAIN_01104,2
TRAIN_01105,1
TRAIN_01106,2
TRAIN_01107,1
TRAIN_01108,3
TRAIN_01109,3
TRAIN_01110,1
TRAIN_01111,3
TRAIN_01112,2
TRAIN_01113,1
TRAIN_01114,3
TRAIN_01115,4
TRAIN_01116,2
TRAIN_01117,2
TRAIN_01118,4
TRAIN_01119,2
TRAIN_01120,2
TRAIN_01121,1
TRAIN_01122,2
TRAIN_01123,0
TRAIN_01124,4
TRAIN_01125,2
TRAIN_01126,3
TRAIN_01127,4
TRAIN_01128,2
TRAIN_01129,3
TRAIN_01130,0
TRAIN_01131,4
TRAIN_01132,1
TRAIN_01133,1
TRAIN_01134,3
TRAIN_01135,1
TRAIN_01136,0
TRAIN_01137,0
TRAIN_01138,4
TRAIN_01139,2
TRAIN_01140,4
TRAIN_01141,4
TRAIN_01142,1
TRAIN_01143,4
TRAIN_01144,3
TRAIN_01145,1
TRAIN_01146,1
TRAIN_01147,1
TRAIN_01148,2
TRAIN_01149,2
TRAIN_01150,0
TRAIN_01151,4
TRAIN_01152,2
TRAIN_01153,0
TRAIN_01154,1
TRAIN_01155,3
TRAIN_01156,2
TRAIN_01157,2
TRAIN_01158,1
TRAIN_01159,2
TRAIN_01160,4
TRAIN_01161,1
TRAIN_01162,3
TRAIN_01163,2
TRAIN_01164,1
TRAIN_01165,0
TRAIN_01166,2
TRAIN_01167,0
TRAIN_01168,3
TRAIN_01169,1
TRAIN_01170,2
TRAIN_01171,0
TRAIN_01172,2
TRAIN_01173,4
TRAIN_01174,4
TRAIN_01175,0
TRAIN_01176,2
TRAIN_01177,2
TRAIN_01178,0
TRAIN_01179,1
TRAIN_01180,2
TRAIN_01181,2
TRAIN_01182,0
TRAIN_01183,4
TRAIN_01184,1
TRAIN_01185,4
TRAIN_01186,2
TRAIN_01187,0
TRAIN_01188,3
TRAIN_01189,2
TRAIN_01190,2
TRAIN_01191,3
TRAIN_01192,0
TRAIN_01193,4
TRAIN_01194,4
TRAIN_01195,3
TRAIN_01196,4
TRAIN_01197,2
TRAIN_01198,4
TRAIN_01199,2
TRAIN_01200,1
TRAIN_01201,1
TRAIN_01202,4
TRAIN_01203,4
TRAIN_01204,2
TRAIN_01205,0
TRAIN_01206,2
TRAIN_01207,0
TRAIN_01208,0
TRAIN_01209,2
TRAIN_01210,1
TRAIN_01211,3
TRAIN_01212,1
TRAIN_01213,0
TRAIN_01214,4
TRAIN_01215,0
TRAIN_01216,3
TRAIN_01217,2
TRAIN_01218,0
TRAIN_01219,0
TRAIN_01220,4
TRAIN_01221,0
TRAIN_01222,2
TRAIN_01223,1
TRAIN_01224,2
TRAIN_01225,2
TRAIN_01226,1
TRAIN_01227,2
TRAIN_01228,0
TRAIN_01229,1
TRAIN_01230,1
TRAIN_01231,1
TRAIN_01232,3
TRAIN_01233,2
TRAIN_01234,4
TRAIN_01235,4
TRAIN_01236,1
TRAIN_01237,2
TRAIN_01238,3
TRAIN_01239,1
TRAIN_01240,3
TRAIN_01241,4
TRAIN_01242,2
TRAIN_01243,4
TRAIN_01244,0
TRAIN_01245,0
TRAIN_01246,0
TRAIN_01247,4
TRAIN_01248,0
TRAIN_01249,3
TRAIN_01250,1
TRAIN_01251,0
TRAIN_01252,3
TRAIN_01253,4
TRAIN_01254,1
TRAIN_01255,2
TRAIN_01256,1
TRAIN_01257,2
TRAIN_01258,1
TRAIN_01259,4
TRAIN_01260,4
TRAIN_01261,0
TRAIN_01262,0
TRAIN_01263,1
TRAIN_01264,1
TRAIN_01265,1
TRAIN_01266,2
TRAIN_01267,1
TRAIN_01268,2
TRAIN_01269,1
TRAIN_01270,0
TRAIN_01271,1
